Generator,Intended_Vol_Ratio,Persistence,Mean_Regime_Duration,Replication,Realized_Vol_Ratio,Oracle_k_ARI,Silhouette_k_hat,Silhouette_Exact
ms_garch,1.5,0.9,10.000000000000002,0,1.0709877582280654,-0.0008094660923117247,2,1
ms_garch,1.5,0.9,10.000000000000002,1,1.0102018572216331,-0.0005263610891323766,2,1
ms_garch,1.5,0.9,10.000000000000002,2,1.0977298385968977,-0.0006998855839799233,2,1
ms_garch,1.5,0.9,10.000000000000002,3,1.1001754757354572,-0.00043276311974987914,2,1
ms_garch,1.5,0.9,10.000000000000002,4,1.0098312461475063,0.0001274908305986982,2,1
ms_garch,1.5,0.9,10.000000000000002,5,1.071609094335218,-0.0007549515302967151,2,1
ms_garch,1.5,0.9,10.000000000000002,6,1.0038599204023877,-0.00015751042980161853,2,1
ms_garch,1.5,0.9,10.000000000000002,7,1.097051695763334,-0.0002865802864974212,2,1
ms_garch,1.5,0.9,10.000000000000002,8,1.062567055706568,3.18536010519542e-06,2,1
ms_garch,1.5,0.9,10.000000000000002,9,1.0529181448624885,0.0005957066620481616,2,1
ms_garch,1.5,0.9,10.000000000000002,10,1.080056396510541,0.00021935426495368844,2,1
ms_garch,1.5,0.9,10.000000000000002,11,1.000641467351425,-2.637415561488521e-05,2,1
ms_garch,1.5,0.9,10.000000000000002,12,1.020476606553011,-0.00017182484294621446,2,1
ms_garch,1.5,0.9,10.000000000000002,13,1.1231481471684206,-0.003140346436383911,2,1
ms_garch,1.5,0.9,10.000000000000002,14,1.0906106749425173,-0.0005685444707156349,2,1
ms_garch,1.5,0.9,10.000000000000002,15,1.0449032308915198,-6.824511694571516e-05,2,1
ms_garch,1.5,0.9,10.000000000000002,16,1.0162379631757694,0.001734621220692811,2,1
ms_garch,1.5,0.9,10.000000000000002,17,1.1817910941634517,-0.00034159764459948877,2,1
ms_garch,1.5,0.9,10.000000000000002,18,1.1170890778286724,0.0025959614741125504,2,1
ms_garch,1.5,0.9,10.000000000000002,19,1.0427904589330406,0.00029088648513257926,2,1
ms_garch,1.5,0.95,19.999999999999982,0,1.1980035392746344,0.0003109708559067132,2,1
ms_garch,1.5,0.95,19.999999999999982,1,1.1793980288636436,0.0017457631654105182,2,1
ms_garch,1.5,0.95,19.999999999999982,2,1.1987809155276754,0.004726554496952181,2,1
