rep,representation,sil_k,bic_k,gap_k,sil_ari,bic_ari,gap_ari,oracle_k_ari
0,rolling_abs_r,2,5,2,-0.005792709698446769,0.014768339532440562,-0.005792709698446769,0.01493592496141077
0,moments,2,6,2,-0.008894797201094906,0.012105268163782126,-0.008894797201094906,0.006279888131544537
0,raw_returns,2,2,2,-0.005937586302126484,-0.005937586302126484,-0.005937586302126484,-0.011537793842058641
0,4d_vector,2,5,2,-0.00577912601720111,-0.0001581890527234249,-0.00577912601720111,-0.003425377930291462
0,log_rv_21,4,6,2,-0.0013382363203422111,0.0006000336598473472,0.011032030740239266,0.00041282942483637477
0,har_multiscale,2,4,2,0.01914169519089704,-0.0026700986265741147,0.01914169519089704,0.014053245341234808
0,ewma_vol,2,3,2,-0.009259484877380191,0.01703375090165121,-0.009259484877380191,0.01837952310030847
1,rolling_abs_r,3,5,2,0.011310181528950967,0.020379828588934217,0.00603693752128909,0.011310181528950967
1,moments,2,6,6,0.00364615017195745,0.00709095141850075,0.0082518388449911,0.003019418158662051
1,raw_returns,4,2,2,0.001449317060539222,0.00554454737593413,-0.012426182960535258,-0.01214412174515788
1,4d_vector,2,6,2,-0.0015658366980369925,0.01990803317054246,-0.0015658366980369925,-0.00026241041873545297
1,log_rv_21,2,2,2,0.015016544945494436,0.01952940450919687,0.015016544945494436,0.02256903017686175
1,har_multiscale,2,5,4,0.022693637210448356,0.010914442897750143,0.020759420800668744,0.02599289761400095
1,ewma_vol,2,5,2,-0.00042364020508740775,0.011989721951253135,-0.00042364020508740775,0.007028167784589808
2,rolling_abs_r,2,5,2,-0.0011642832833072985,0.0029646178311827655,-0.0011642832833072985,0.0004980233478765999
2,moments,2,6,6,0.0031380297666742606,0.005556477601938252,0.00931511375737047,0.0014216550714714923
2,raw_returns,2,2,2,0.0006049850451803779,0.0023477131687525275,0.0006049850451803779,-0.0027913466088172437
2,4d_vector,2,6,3,0.00426715015583065,0.0023320575008011096,-0.0013130754874127143,-0.0013130754874127143
2,log_rv_21,2,2,2,-0.0012560012771796558,-0.0014529867917086065,-0.0012560012771796558,0.005999847994423535
2,har_multiscale,2,5,2,0.0035903576515222777,0.002880221886005933,0.0035903576515222777,0.0077865216171424095
2,ewma_vol,2,5,2,-0.000425815270983715,0.013324777846267816,-0.000425815270983715,0.003739049160162412
3,rolling_abs_r,2,6,2,0.01888732100978097,0.02108112887965804,0.01888732100978097,0.03313273024756658
3,moments,2,6,2,0.00375108478633286,0.012609488607333841,0.00375108478633286,0.006800169638642273
3,raw_returns,2,4,2,0.02285556932397081,-0.008197761108673365,0.02285556932397081,0.002243976644479174
3,4d_vector,2,6,2,0.024211112399472986,0.02836256747685776,0.024211112399472986,0.020357717768895653
3,log_rv_21,3,5,2,0.01842603391596542,0.009917401418268393,0.029696140287463646,0.01842603391596542
3,har_multiscale,2,6,2,0.03318617591051402,0.004921797066701451,0.03318617591051402,0.018533930669320478
3,ewma_vol,2,6,2,0.02160556722887597,0.023829956181393247,0.02160556722887597,0.03471878284030777
4,rolling_abs_r,2,5,2,0.006985659894739865,0.015836493585051684,0.006985659894739865,0.004936175935280672
4,moments,2,6,2,0.012372351338124128,0.014837707862649605,0.012372351338124128,0.018173541023224292
4,raw_returns,3,2,2,0.007423632193092919,0.004947026347898571,-0.0044387346105780505,0.007423632193092919
4,4d_vector,2,6,2,-0.0007117873327873419,0.019476926368242015,-0.0007117873327873419,0.011773352295965833
4,log_rv_21,6,3,2,0.018262763108962188,0.02198643348384106,0.017688290808079404,0.022708495580436434
4,har_multiscale,2,4,2,0.031332863037789524,0.01957074521533381,0.031332863037789524,0.023706459471685894
4,ewma_vol,2,6,2,0.008765271110647475,0.007677306017539545,0.008765271110647475,0.0028472471482373835
5,rolling_abs_r,2,4,2,0.0013482313062796525,0.05325020924620053,0.0013482313062796525,0.040773563273446375
5,moments,2,6,6,0.0006073329500176012,0.014807006032931728,0.005113626887222478,0.001374415339583782
5,raw_returns,2,2,4,0.003728251864125932,0.003728251864125932,0.00152568104873337,0.001282750600914709
5,4d_vector,2,4,6,0.0007598408615372465,0.05685695000624967,0.010069204119861272,0.0017576074207431992
5,log_rv_21,5,3,2,0.03685522475094831,0.048242209783018526,0.04508703483108942,0.05393653966944579
5,har_multiscale,2,6,3,0.05779577494936038,0.0057793257379141335,0.03489925475158076,0.03489925475158076
5,ewma_vol,2,5,2,0.00032066445271336145,0.0413782134020006,0.00032066445271336145,0.028155644954778316
6,rolling_abs_r,2,3,2,0.03318327264428608,0.05755938530798896,0.03318327264428608,0.05698303182309387
6,moments,2,6,5,-0.010047751266752948,0.010597761495974802,0.0018937055820697332,0.001052196367220726
6,raw_returns,2,4,2,0.005823361751966308,0.00659795598772202,0.005823361751966308,0.004947785741836016
6,4d_vector,2,6,2,0.012279315203825957,0.049061869429437625,0.012279315203825957,0.0411925309880456
6,log_rv_21,2,2,2,0.06757018924465646,0.050701278392842254,0.06757018924465646,0.03240013824010446
6,har_multiscale,2,4,2,0.04458076642513365,-0.000356943462682818,0.04458076642513365,0.0390557016281477
6,ewma_vol,2,3,2,0.029677943509752825,0.059910666916494014,0.029677943509752825,0.06664904865730982
7,rolling_abs_r,2,3,2,0.0014997198746734047,0.0017442522523106925,0.0014997198746734047,0.0025099483924025104
7,moments,2,6,3,-0.008706626999585902,-0.002263927607865835,0.0022790859882983647,0.0022790859882983647
7,raw_returns,2,2,2,-0.0025947456400788405,-0.016483282036782666,-0.0025947456400788405,0.020923159829378764
7,4d_vector,2,6,2,-0.014834982740117292,0.016008636195437288,-0.014834982740117292,-0.0028778216177118786
7,log_rv_21,2,2,2,0.014903857636185715,0.013503329726768716,0.014903857636185715,0.03869062501404047
7,har_multiscale,2,3,2,0.021064939434547823,-0.0018666551606569511,0.021064939434547823,0.017744808972736243
7,ewma_vol,2,3,2,0.01946767655899022,0.007541003521876374,0.01946767655899022,0.004062104841898535
