Generator,True_k,Persistence,Mean_Regime_Duration,Replication,Feature,ARI_KMeans_oracle_k,ARI_GMM_oracle_k
ms_garch,2,0.9,10.000000000000002,0,sigma_true,0.0025695745264781903,-0.002961816661144751
ms_garch,2,0.9,10.000000000000002,0,sigma_log,0.13378230428184212,0.006585812196725424
ms_garch,2,0.9,10.000000000000002,0,roll_sigma_21,-0.0013644521668245487,-0.0002064482640458405
ms_garch,2,0.9,10.000000000000002,0,roll_abs_r_21,-0.0018639837227425954,-0.0016609314470504533
ms_garch,2,0.9,10.000000000000002,0,roll_abs_r_matched,-0.0019004958069402556,-0.0025468709197826607
ms_garch,2,0.9,10.000000000000002,1,sigma_true,0.0700648810652583,-0.001164693870494121
ms_garch,2,0.9,10.000000000000002,1,sigma_log,0.12451137010826727,0.11502194966920598
ms_garch,2,0.9,10.000000000000002,1,roll_sigma_21,0.0026517121751543304,0.0002694737183391137
ms_garch,2,0.9,10.000000000000002,1,roll_abs_r_21,-0.0004923097131734502,0.00156655686368484
ms_garch,2,0.9,10.000000000000002,1,roll_abs_r_matched,0.006859967028042434,-0.0012560839585128508
ms_garch,2,0.9,10.000000000000002,2,sigma_true,0.025246106143781227,0.009056599900289168
ms_garch,2,0.9,10.000000000000002,2,sigma_log,0.07754281426375294,0.0655387628215381
ms_garch,2,0.9,10.000000000000002,2,roll_sigma_21,0.0004251599554816326,-0.0002918392122736196
ms_garch,2,0.9,10.000000000000002,2,roll_abs_r_21,0.001755385990737959,0.001755385990737959
ms_garch,2,0.9,10.000000000000002,2,roll_abs_r_matched,0.004924273985015522,0.004936495150460737
ms_garch,2,0.9,10.000000000000002,3,sigma_true,0.016761329164048534,0.0032431603892998633
ms_garch,2,0.9,10.000000000000002,3,sigma_log,0.11289849816865315,0.09342355062180024
ms_garch,2,0.9,10.000000000000002,3,roll_sigma_21,0.004626780615443131,0.0027187677801486084
ms_garch,2,0.9,10.000000000000002,3,roll_abs_r_21,0.0016220188416891839,-0.00030495933115190456
ms_garch,2,0.9,10.000000000000002,3,roll_abs_r_matched,0.0010517201887300489,-6.887967345024411e-05
ms_garch,2,0.9,10.000000000000002,4,sigma_true,-0.0001630885072360261,-0.0005720303469087105
ms_garch,2,0.9,10.000000000000002,4,sigma_log,0.0784397315876367,0.005129680396100153
ms_garch,2,0.9,10.000000000000002,4,roll_sigma_21,-0.00031120776550935185,-0.00048118105126976476
ms_garch,2,0.9,10.000000000000002,4,roll_abs_r_21,-0.0002197444018224571,-0.00048283371547628147
ms_garch,2,0.9,10.000000000000002,4,roll_abs_r_matched,-0.0001823599052189057,-0.0006074785408557354
ms_garch,2,0.9,10.000000000000002,5,sigma_true,0.01896899542396836,0.00769484708557432
ms_garch,2,0.9,10.000000000000002,5,sigma_log,0.07910869193803102,0.07621251544969196
ms_garch,2,0.9,10.000000000000002,5,roll_sigma_21,0.0033674565031951635,0.0009392845987600088
