Generator,True_k,Persistence,DegreesOfFreedom,SeriesLength,Replication,Mean_Regime_Duration,Feature_Window,Realized_Vol_Ratio,Method,Criterion,Estimated_k,Exact_Match,Signed_Bias,ARI_at_True_k,ARI_at_Estimated_k,Estimated_k_with_k1,Selected_k1
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,K-Means,Silhouette,2,1,0,0.0007107306340750045,0.0007107306340750045,,
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,K-Means,Davies-Bouldin,4,0,2,0.0007107306340750045,0.001151722464174871,,
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,K-Means,Calinski-Harabasz,12,0,10,0.0007107306340750045,0.0025632159109598455,,
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,GMM,BIC,8,0,6,0.0006199798573057823,0.0011558764142820456,8.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,GMM,AIC,8,0,6,0.0006199798573057823,0.0011558764142820456,8.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,GMM,ICL,2,1,0,0.0006199798573057823,0.0006199798573057823,2.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,GMM,BIC_Neff,8,0,6,0.0006199798573057823,0.0011558764142820456,8.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,HMM,BIC,11,0,9,-0.00018814700036303068,0.0017144670054452717,11.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,HMM,AIC,11,0,9,-0.00018814700036303068,0.0017144670054452717,11.0,0.0
ms_garch,2,0.9,5.0,5000,0,10.000000000000002,21,1.208198290026513,HMM,ICL,6,0,4,-0.00018814700036303068,0.00249238785446314,6.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,K-Means,Silhouette,2,1,0,0.003003430254934524,0.003003430254934524,,
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,K-Means,Davies-Bouldin,7,0,5,0.003003430254934524,0.004166700851284263,,
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,K-Means,Calinski-Harabasz,12,0,10,0.003003430254934524,0.0021322044505652994,,
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,GMM,BIC,4,0,2,-0.0007361377022084362,0.005635112960614513,4.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,GMM,AIC,4,0,2,-0.0007361377022084362,0.005635112960614513,4.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,GMM,ICL,2,1,0,-0.0007361377022084362,-0.0007361377022084362,1.0,1.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,GMM,BIC_Neff,4,0,2,-0.0007361377022084362,0.005635112960614513,4.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,HMM,BIC,11,0,9,0.01444426194234007,0.003521398071944982,11.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,HMM,AIC,11,0,9,0.01444426194234007,0.003521398071944982,11.0,0.0
ms_garch,2,0.9,5.0,5000,1,10.000000000000002,21,1.2548944641812696,HMM,ICL,11,0,9,0.01444426194234007,0.003521398071944982,11.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,K-Means,Silhouette,2,1,0,-0.00013873012495808115,-0.00013873012495808115,,
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,K-Means,Davies-Bouldin,9,0,7,-0.00013873012495808115,0.002054419567480397,,
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,K-Means,Calinski-Harabasz,12,0,10,-0.00013873012495808115,0.0015989428823992265,,
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,GMM,BIC,4,0,2,-0.0001326565581084212,0.001075559121517659,4.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,GMM,AIC,9,0,7,-0.0001326565581084212,0.002094938901479396,9.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,GMM,ICL,2,1,0,-0.0001326565581084212,-0.0001326565581084212,1.0,1.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,GMM,BIC_Neff,9,0,7,-0.0001326565581084212,0.002094938901479396,9.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,HMM,BIC,9,0,7,6.0975067060038584e-05,0.0011118931009920007,9.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,HMM,AIC,11,0,9,6.0975067060038584e-05,0.0014550511217849337,11.0,0.0
ms_garch,2,0.9,5.0,5000,2,10.000000000000002,21,1.100006165893614,HMM,ICL,8,0,6,6.0975067060038584e-05,0.0017011231456727433,8.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,K-Means,Silhouette,2,1,0,-0.0001620316049743529,-0.0001620316049743529,,
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,K-Means,Davies-Bouldin,2,1,0,-0.0001620316049743529,-0.0001620316049743529,,
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,K-Means,Calinski-Harabasz,12,0,10,-0.0001620316049743529,0.005042787426032355,,
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,GMM,BIC,4,0,2,-0.00015807055762771458,0.007138168129833489,4.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,GMM,AIC,11,0,9,-0.00015807055762771458,0.006742378307688957,11.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,GMM,ICL,2,1,0,-0.00015807055762771458,-0.00015807055762771458,2.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,GMM,BIC_Neff,9,0,7,-0.00015807055762771458,0.008263431864510359,9.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,HMM,BIC,10,0,8,0.0005139616529681004,0.005935029829631696,10.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,HMM,AIC,10,0,8,0.0005139616529681004,0.005935029829631696,10.0,0.0
ms_garch,2,0.9,5.0,5000,3,10.000000000000002,21,1.2538383700966291,HMM,ICL,10,0,8,0.0005139616529681004,0.005935029829631696,10.0,0.0
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,K-Means,Silhouette,2,1,0,-0.0002574453220782172,-0.0002574453220782172,,
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,K-Means,Davies-Bouldin,11,0,9,-0.0002574453220782172,9.693600350013549e-05,,
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,K-Means,Calinski-Harabasz,12,0,10,-0.0002574453220782172,0.0002970754100911283,,
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,GMM,BIC,4,0,2,-0.0004569498392289551,0.0006841837402437734,4.0,0.0
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,GMM,AIC,10,0,8,-0.0004569498392289551,-7.749469961465758e-05,10.0,0.0
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,GMM,ICL,2,1,0,-0.0004569498392289551,-0.0004569498392289551,1.0,1.0
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,GMM,BIC_Neff,4,0,2,-0.0004569498392289551,0.0006841837402437734,4.0,0.0
ms_garch,2,0.9,5.0,5000,4,10.000000000000002,21,1.1236737030116912,HMM,BIC,12,0,10,4.333372794139605e-05,0.00037486375855234596,12.0,0.0
